CPU_Name,Price,cpuValue,TDP,powerPerf,Benchmark,Brand,Power_Category,Usage,Power_Category 1,
Intel Xeon E5-2687W V4 @ 3.00Ghz,72713.207,18.21,160,110.98,17757,Intel,0,High-End,Basic,
Intel Xeon E5-2680 V4 @ 2.40Ghz,29991.3083,44.1,120,147.81,17737,Intel,0,High-End,Basic,
Intel Core I5-12500T,15063.14,87.76,35,506.53,17728,Intel,2,High-End,Mid,
Intel Xeon E-2278G @ 3.40Ghz,36837.58,35.84,80,221.33,17706,Intel,0,High-End,Basic,
Intel Xeon Gold 5120 @ 2.20Ghz,116403.77,11.33,105,168.43,17686,Intel,0,High-End,Basic,
Intel Core I5-11500 @ 2.70Ghz,14704.4583,89.38,65,271.17,17626,Intel,0,High-End,Basic,
Amd Ryzen 7 2700X,15881.9186,82.54,105,167.41,17578,AMD,0,High-End,Basic,
Intel Xeon Gold 5120T @ 2.20Ghz,128782.39,10.16,105,167.04,17540,Intel,0,High-End,Basic,
Intel Xeon E5-2673 V4 @ 2.30Ghz,145411.5,8.99,135,129.87,17533,Intel,0,High-End,Basic,
Intel Xeon W-3223 @ 3.50Ghz,61188.4135,21.27,160,109.1,17456,Intel,0,High-End,Basic,
Intel Xeon E5-4669 V3 @ 2.10Ghz,402678,3.23,135,129.11,17430,Intel,0,High-End,Basic,
Intel Xeon E5-2683 V4 @ 2.10Ghz,31393.97,41.3,120,144.9,17388,Intel,0,High-End,Basic,
Intel Xeon E-2288G @ 3.70Ghz,40193.23,32.12,95,182.24,17313,Intel,0,High-End,Basic,
Intel Core I7-7820X @ 3.60Ghz,52870.13,24.38,140,123.45,17283,Intel,0,High-End,Basic,
Intel Core I5-11400F @ 2.60Ghz,11184.7543,114.76,65,264.82,17213,Intel,0,High-End,Basic,
Intel Core I7-6950X @ 3.00Ghz,28136.7524,45.43,140,122.44,17142,Intel,0,High-End,Basic,
Intel Core I5-11400 @ 2.60Ghz,12990.8397,98.34,65,263.57,17132,Intel,0,High-End,Basic,
Intel Core I7-10700E @ 2.90Ghz,24608.1,51.58,65,261.85,17020,Intel,0,High-End,Basic,
Amd Epyc 7232P,29102.4339,43.6,120,141.81,17017,AMD,0,High-End,Basic,
Intel Core I7-10700F @ 2.90Ghz,18641.7543,67.89,65,261.12,16973,Intel,0,High-End,Basic,
Amd Ryzen Threadripper 1900X,18641.7543,67.82,180,94.19,16955,AMD,0,High-End,Basic,
Intel Core I7-10700 @ 2.90Ghz,20058.5843,63,65,260.71,16946,Intel,0,High-End,Basic,
Intel Core I9-9900 @ 3.10Ghz,34226.8843,36.76,65,259.58,16873,Intel,0,High-End,Basic,
Amd Ryzen 5 4500,10570.2975,117.8,65,256.89,16698,AMD,0,High-End,Basic,
Intel Xeon Gold 6134 @ 3.20Ghz,126768.2543,9.72,130,127.06,16518,Intel,0,High-End,Basic,
Intel Core I5-11500H @ 2.90Ghz,18642.5,65.83,45,365.74,16458,Intel,2,High-End,Mid,
Intel Xeon E5-2690 V3 @ 2.60Ghz,17538.1183,69.92,135,121.8,16444,Intel,0,High-End,Basic,
Amd Ryzen 5 Pro 4650G,19191.3352,63.83,65,252.73,16428,AMD,0,High-End,Basic,
Intel Core I7-11600H @ 2.90Ghz,29455.15,41.53,45,364.51,16403,Intel,2,High-End,Mid,
Intel Core I7-10700Te @ 2.00Ghz,24608.1,49.49,35,466.63,16332,Intel,2,High-End,Mid,
Amd Ryzen 7 1800X,13275.6971,91.59,95,171.64,16306,AMD,0,High-End,Basic,
Intel Xeon Gold 5118 @ 2.30Ghz,52124.43,23.3,105,155.12,16287,Intel,0,High-End,Basic,
Intel Core I9-10980Hk @ 2.40Ghz,43474.31,27.91,45,361.57,16271,Intel,2,High-End,Mid,
Intel Core I5-11400H @ 2.70Ghz,18642.5,64.29,45,357.17,16073,Intel,2,High-End,Mid,
Intel Xeon W-10885M @ 2.40Ghz,46457.11,25.7,45,355.84,16013,Intel,2,High-End,Mid,
Intel Xeon E-2336 @ 2.90Ghz,22669.28,52.3,65,244.61,15900,Intel,0,High-End,Basic,
Intel Xeon E5-2695 V3 @ 2.30Ghz,18134.6783,64.97,120,131.68,15801,Intel,0,High-End,Basic,
Intel Xeon Silver 4214 @ 2.20Ghz,56799.969,20.71,85,185.55,15772,Intel,0,High-End,Basic,
Intel Core I9-10885H @ 2.40Ghz,41460.92,28.2,45,348.42,15679,Intel,2,High-End,Mid,
Amd Ryzen 7 2700,18955.694,61.58,65,240.82,15654,AMD,0,High-End,Basic,
Intel Xeon E5-2680 V3 @ 2.50Ghz,10588.94,109.31,120,129.35,15522,Intel,0,High-End,Basic,
Amd Ryzen 7 1700X,12532.2342,92.21,95,163.12,15496,AMD,0,High-End,Basic,
Intel Xeon Gold 5217 @ 3.00Ghz,122667.65,9.38,115,134.16,15429,Intel,0,High-End,Basic,
Intel Core I7-10875H @ 2.30Ghz,33556.5,34.28,45,342.79,15426,Intel,2,High-End,Mid,
Intel Xeon Gold 5215 @ 2.50Ghz,103275.7215,11.13,85,181.42,15420,Intel,0,High-End,Basic,
Intel Xeon E5-4667 V3 @ 2.00Ghz,427211.53,2.69,135,114.05,15397,Intel,0,High-End,Basic,
Intel Core I5-11260H @ 2.60Ghz,18642.5,61.25,45,340.29,15313,Intel,2,High-End,Mid,
Intel Core I7-11700T @ 1.40Ghz,24086.11,47.28,35,436.3,15271,Intel,2,High-End,Mid,
Intel Core I5-11600T @ 1.70Ghz,15883.41,71.61,35,435.82,15254,Intel,2,High-End,Mid,
Intel Xeon E-2278Ge @ 3.30Ghz,36837.58,30.88,80,190.66,15252,Intel,0,High-End,Basic,
Intel Xeon E-2286M @ 2.40Ghz,102398.0326,11.1,45,338.87,15249,Intel,2,High-End,Mid,
Intel Xeon Silver 4214Y @ 2.20Ghz,57269.76,19.85,85,179.39,15248,Intel,0,High-End,Basic,
Intel Xeon Silver 4116T @ 2.10Ghz,82921.84,13.66,85,178.66,15187,Intel,0,High-End,Basic,
Intel Xeon Silver 4215R @ 3.20Ghz,64130.2,17.61,130,116.51,15147,Intel,0,High-End,Basic,
Intel Core I9-10900T @ 1.90Ghz,32736.23,34.47,35,432.4,15134,Intel,2,High-End,Mid,
Intel Xeon D-2166Nt @ 2.00Ghz,74942.85,15.03,85,177.7,15105,Intel,0,High-End,Basic,
Intel Xeon E5-2660 V4 @ 2.00Ghz,18974.3365,59.1,105,143.22,15038,Intel,0,High-End,Basic,
Intel Xeon Silver 4210R @ 2.40Ghz,38775.6543,28.9,100,150.3,15030,Intel,0,High-End,Basic,
Intel Core I7-10870H @ 2.20Ghz,31095.69,36.04,45,333.93,15027,Intel,0,High-End,Basic,
Amd Epyc 7301,111853.5086,9.99,155,96.72,14991,AMD,0,High-End,Basic,
Intel Core I3-12300,10663.51,104.58,60,249.26,14955,Intel,0,High-End,Basic,
Amd Epyc 7251,82847.27,13.44,120,124.46,14935,AMD,0,High-End,Basic,
Intel Xeon Silver 4116 @ 2.10Ghz,29081.5543,38.29,85,175.66,14931,Intel,0,High-End,Basic,
Intel Xeon W-1250P @ 4.10Ghz,44492.9362,25.01,125,119.39,14924,Intel,0,High-End,Basic,
Intel Xeon E5-2699A V4 @ 2.40Ghz,368226.66,3.02,145,102.87,14917,Intel,0,High-End,Basic,
Intel Xeon E5-2658A V3 @ 2.20Ghz,136612.24,8.12,105,141.71,14879,Intel,0,High-End,Basic,
Intel Xeon E5-2683 V3 @ 2.00Ghz,111776.7015,9.89,120,123.57,14829,Intel,0,High-End,Basic,
Intel Xeon E5-2687W V3 @ 3.10Ghz,50703.8715,21.78,160,92.57,14812,Intel,0,High-End,Basic,
Intel Core I9-9980Hk @ 2.40Ghz,43474.31,25.26,45,327.29,14728,Intel,0,High-End,Basic,
Intel Xeon E5-2678 V3 @ 2.50Ghz,12676.9,86.36,120,122.35,14682,Intel,0,High-End,Basic,
Amd Ryzen 7 1700,11385.3476,95.81,65,225.05,14628,AMD,0,High-End,Basic,
Intel Core I5-10600Kf @ 4.10Ghz,13793.9586,78.79,125,116.6,14575,Intel,0,High-End,Basic,
Intel Core I7-9700K @ 3.60Ghz,29156.1243,37.21,95,153.16,14550,Intel,0,High-End,Basic,
Intel Core I7-8086K @ 4.00Ghz,40938.93,26.5,95,153.16,14550,Intel,0,High-End,Basic,
Intel Core I5-10600K @ 4.10Ghz,15881.1729,68.24,125,116.27,14534,Intel,0,High-End,Basic,
Intel Core I3-12100,9097.54,118.88,60,241.72,14503,Intel,0,High-End,Basic,
Intel Core I7-9700Kf @ 3.60Ghz,31691.5043,34.12,95,152.62,14499,Intel,0,High-End,Basic,
Intel Core I3-12100F,8052.8143,134.18,58,249.83,14490,Intel,0,High-End,Basic,
Intel Xeon Silver 4215 @ 2.50Ghz,64872.1715,16.6,85,169.87,14439,Intel,0,High-End,Basic,
Intel Xeon E-2286G @ 4.00Ghz,41107.4582,26.09,95,151.41,14384,Intel,0,High-End,Basic,
Intel Xeon W-2235 @ 3.80Ghz,43473.5643,24.58,130,110.25,14332,Intel,0,High-End,Basic,
Intel Xeon E-2236 @ 3.40Ghz,24407.5067,43.71,80,178.84,14307,Intel,0,High-End,Basic,
Intel Core I7-6900K @ 3.20Ghz,28705.7215,37.13,140,102.08,14291,Intel,0,High-End,Basic,
Intel Xeon Silver 4210 @ 2.20Ghz,33481.93,31.82,85,168.06,14285,Intel,0,High-End,Basic,
Intel Xeon Gold 6128 @ 3.40Ghz,128185.83,8.3,115,124.11,14273,Intel,0,High-End,Basic,
Intel Xeon E5-4660 V3 @ 2.10Ghz,357936,2.97,120,118.8,14256,Intel,0,High-End,Basic,
Intel Xeon E5-2697 V2 @ 2.70Ghz,12117.625,87.49,130,109.37,14218,Intel,0,High-End,Basic,
Intel Xeon E5-1680 V4 @ 3.40Ghz,351895.83,2.99,140,100.86,14120,Intel,0,High-End,Basic,
Intel Xeon E5-2673 V3 @ 2.40Ghz,52199,20.16,110,128.29,14112,Intel,0,High-End,Basic,
Intel Xeon W-2135 @ 3.70Ghz,75144.189,14,140,100.78,14109,Intel,0,High-End,Basic,
Intel Xeon E-2374G @ 3.70Ghz,26621.49,39.46,80,176.07,14086,Intel,0,High-End,Basic,
Amd Ryzen 5 2600X,11512.8623,91.02,95,147.92,14053,AMD,0,High-End,Basic,
Intel Xeon E-2246G @ 3.60Ghz,23191.27,45.18,80,175.62,14050,Intel,0,High-End,Basic,
Intel Core I9-9880H @ 2.30Ghz,41460.92,25.14,45,310.64,13979,Intel,0,High-End,Basic,
Amd Epyc 3251,23489.55,44.33,50,279.3,13965,AMD,0,High-End,Basic,
Intel Core I9-9900T @ 2.10Ghz,32736.23,31.77,35,398.49,13947,Intel,2,High-End,Mid,
Intel Core I5-10600 @ 3.30Ghz,16404.6543,63.31,65,214.27,13928,Intel,0,High-End,Basic,
Intel Xeon E5-2670 V3 @ 2.30Ghz,4771.7343,217.48,120,115.97,13917,Intel,0,High-End,Basic,
Intel Xeon E-2186G @ 3.80Ghz,40475.1046,25.63,95,146.41,13909,Intel,0,High-End,Basic,
Intel Core I7-8700K @ 3.70Ghz,23042.13,44.82,95,145.79,13850,Intel,0,High-End,Basic,
Intel Xeon E5-2667 V4 @ 3.20Ghz,26658.775,38.73,135,102.57,13846,Intel,0,High-End,Basic,
Intel Core I5-11500T @ 1.50Ghz,14317.44,71.98,35,394.85,13820,Intel,2,High-End,Mid,
Intel Xeon W-1250 @ 3.30Ghz,23294.9223,44.17,80,172.49,13799,Intel,0,High-End,Basic,
Intel Xeon E-2176G @ 3.70Ghz,33407.36,30.45,80,170.54,13643,Intel,0,High-End,Basic,
Intel Xeon W-1270Te @ 2.00Ghz,27367.19,36.93,35,387.24,13553,Intel,2,High-End,Mid,
Intel Xeon E5-2695 V2 @ 2.40Ghz,13646.31,73.88,115,117.57,13521,Intel,0,High-End,Basic,
Intel Xeon E5-2650 V4 @ 2.20Ghz,89483.2543,11.24,105,128.47,13489,Intel,0,High-End,Basic,
Intel Xeon E5-2690 V2 @ 3.00Ghz,11036.36,91.08,130,103.7,13481,Intel,0,High-End,Basic,
Intel Core I7-9700F @ 3.00Ghz,25427.6243,39.48,65,207.11,13462,Intel,0,High-End,Basic,
Intel Core I7-9700 @ 3.00Ghz,24074.9245,41.46,65,205.93,13385,Intel,0,High-End,Basic,
Intel Xeon E-2276G @ 3.80Ghz,33027.053,30.19,80,167.13,13371,Intel,0,High-End,Basic,
Intel Xeon E-2136 @ 3.30Ghz,24010.7943,41.48,80,166.96,13356,Intel,0,High-End,Basic,
Intel Xeon E-2146G @ 3.50Ghz,27586.4258,36.09,80,166.89,13351,Intel,0,High-End,Basic,
Intel Xeon E5-1660 V4 @ 3.20Ghz,111407.58,8.93,140,95.29,13340,Intel,0,High-End,Basic,
Amd Ryzen 5 3500X,13791.7215,72.01,65,204.91,13319,AMD,0,High-End,Basic,
Intel Xeon E5-1680 V3 @ 3.20Ghz,43995.5543,22.4,140,94.38,13214,Intel,0,High-End,Basic,
Amd Ryzen 5 2600,9312.3016,105.66,65,202.99,13195,AMD,0,High-End,Basic,
Intel Xeon E-2334 @ 3.40Ghz,22817.6743,43.1,65,202.9,13189,Intel,0,High-End,Basic,
Intel Xeon Silver 4114 @ 2.20Ghz,57791.75,16.99,85,154.93,13169,Intel,0,High-End,Basic,
Intel Xeon E5-2660 V3 @ 2.60Ghz,10643.3761,92.1,105,125.2,13146,Intel,0,High-End,Basic,
Intel Core I7-10700T @ 2.00Ghz,33406.6143,29.28,35,374.82,13119,Intel,2,High-End,Mid,
Intel Xeon D-2143It @ 2.20Ghz,42206.62,23.16,65,201.64,13107,Intel,0,High-End,Basic,
Intel Core I5-11400T @ 1.30Ghz,13571.74,71.86,35,373.67,13078,Intel,2,High-End,Mid,
Intel Core I5-10500 @ 3.10Ghz,15650.7516,62.21,65,200.86,13056,Intel,0,High-End,Basic,
Intel Core I7-8700 @ 3.20Ghz,19462.0243,49.99,65,200.71,13046,Intel,0,High-End,Basic,
Intel Xeon E5-4627 V4 @ 2.60Ghz,74569.2543,12.97,135,96.07,12969,Intel,0,High-End,Basic,
Intel Xeon W-10855M @ 2.80Ghz,33556.5,28.79,45,287.89,12955,Intel,0,High-End,Basic,
Amd Ryzen 5 1600X,12636.6322,76.38,95,136.25,12943,AMD,0,High-End,Basic,
Intel Core I7-7800X @ 3.50Ghz,14913.2543,64.33,140,91.89,12864,Intel,0,High-End,Basic,
Intel Xeon E5-2618L V4 @ 2.20Ghz,52228.0823,18.3,75,170.88,12816,Intel,0,High-End,Basic,
Intel Core I3-12100T,9097.54,104.65,35,364.77,12767,Intel,2,High-End,Mid,
Amd Ryzen 3 3300X,20133.1543,47.21,65,196.1,12746,AMD,0,High-End,Basic,
Intel Core I7-5960X @ 3.00Ghz,16078.0377,58.99,140,90.85,12719,Intel,0,High-End,Basic,
Intel Xeon E5-2680 V2 @ 2.80Ghz,10404.7521,89.8,115,108.96,12530,Intel,0,High-End,Basic,
Intel Xeon E5-4657L V2 @ 2.40Ghz,56016.2383,16.63,115,108.66,12495,Intel,0,High-End,Basic,
Intel Core I5-10400F @ 2.90Ghz,9320.5043,99.52,65,191.37,12439,Intel,0,High-End,Basic,
Intel Xeon W-2133 @ 3.60Ghz,46009.69,20.16,140,88.84,12438,Intel,0,High-End,Basic,
Intel Core I7-11375H @ 3.30Ghz,35942.74,25.69,35,353.79,12383,Intel,2,High-End,Mid,
Intel Xeon E5-1660 V3 @ 3.00Ghz,29749.7015,30.98,140,88.28,12360,Intel,0,High-End,Basic,
Intel Xeon E5-2667 V3 @ 3.20Ghz,30051.71,30.66,135,91.51,12354,Intel,0,High-End,Basic,
Intel Core I7-1265U,31766.82,28.95,15,822.28,12334,Intel,1,High-End,Mid,High
Intel Core I5-10400 @ 2.90Ghz,11184.7543,82.14,65,189.53,12320,Intel,0,High-End,Basic,
Amd Ryzen 5 1600,11917.7774,77.05,65,189.45,12314,AMD,0,High-End,Basic,
Intel Core I7-8700B @ 3.20Ghz,22594.71,40.39,65,188.3,12239,Intel,0,High-End,Basic,
Intel Core I7-9700E @ 2.60Ghz,24086.11,37.89,65,188.3,12239,Intel,0,High-End,Basic,
Intel Xeon E5-2667 V2 @ 3.30Ghz,13046.0215,69.86,130,94.02,12222,Intel,0,High-End,Basic,
Intel Xeon D-2141I @ 2.20Ghz,41386.35,21.94,65,187.33,12177,Intel,0,High-End,Basic,
Intel Core I7-10850H @ 2.70Ghz,29455.15,30.69,45,269.42,12124,Intel,0,High-End,Basic,
Intel Core I7-11370H @ 3.30Ghz,31766.82,28.4,35,345.66,12098,Intel,2,High-End,Mid,
Intel Xeon E5-2687W V2 @ 3.40Ghz,32228.4083,27.96,150,80.56,12083,Intel,0,High-End,Basic,
Intel Xeon E-2278Gel @ 2.00Ghz,36837.58,24.34,35,343.53,12024,Intel,2,High-End,Mid,
Intel Xeon E5-2640 V4 @ 2.40Ghz,34376.77,25.92,90,132.78,11950,Intel,0,High-End,Basic,
Intel Xeon E5-2650 V3 @ 2.30Ghz,8043.8659,110.61,105,113.63,11931,Intel,0,High-End,Basic,
Intel Xeon E5-2650L V3 @ 1.80Ghz,101788.05,8.66,65,181.85,11820,Intel,0,High-End,Basic,
Intel Xeon E-2276M @ 2.80Ghz,33556.5,26.26,45,262.62,11818,Intel,0,High-End,Basic,
Intel Xeon D-2146Nt @ 2.30Ghz,47799.37,18.31,80,146.69,11736,Intel,0,High-End,Basic,
Intel Xeon E5-2670 V2 @ 2.50Ghz,5891.03,148.33,115,101.9,11718,Intel,0,High-End,Basic,
Amd Ryzen 3 3100,10286.9315,84.52,65,179.38,11660,AMD,0,High-End,Basic,
Intel Xeon D-1577 @ 1.30Ghz,87694.32,9.9,45,258.78,11645,Intel,0,High-End,Basic,
Intel Core I5-10500H @ 2.50Ghz,18642.5,46.41,45,257.86,11604,Intel,0,High-End,Basic,
Intel Xeon E5-2648L V4 @ 1.80Ghz,96844.059,8.89,75,153.96,11547,Intel,0,High-End,Basic,
Intel Xeon E5-1650 V4 @ 3.60Ghz,33832.409,25.42,140,82.38,11534,Intel,0,High-End,Basic,
Intel Core I7-9850H @ 2.60Ghz,97370.5232,8.79,45,255.18,11483,Intel,0,High-End,Basic,
Intel Xeon E5-2650L V4 @ 1.70Ghz,52199,16.34,65,175.93,11436,Intel,0,High-End,Basic,
Intel Core I7-9750Hf @ 2.60Ghz,29455.15,28.84,45,253.14,11391,Intel,0,High-End,Basic,
Intel Core I5-10600T @ 2.40Ghz,15883.41,53.41,35,325.02,11376,Intel,0,High-End,Basic,
Intel Xeon E5-2630 V4 @ 2.20Ghz,27960.0215,30.33,85,133.8,11373,Intel,0,High-End,Basic,
Intel Xeon E5-4627 V3 @ 2.60Ghz,178968,4.73,135,84.03,11344,Intel,0,High-End,Basic,
Intel Core I7-6850K @ 3.60Ghz,24382.1529,34.54,140,80.68,11295,Intel,0,High-End,Basic,
Intel Core I7-9750H @ 2.60Ghz,71587.2,11.67,45,249.03,11207,Intel,0,High-End,Basic,
Intel Xeon E5-2640 V3 @ 2.60Ghz,4399.63,189.91,90,124.5,11205,Intel,0,High-End,Basic,
Intel Xeon E5-2643 V4 @ 3.40Ghz,28597.595,29.08,135,82.61,11152,Intel,0,High-End,Basic,
Intel Xeon Silver 4208 @ 2.10Ghz,35943.4857,23.11,85,131.02,11137,Intel,0,High-End,Basic,
Intel Core I5-1235U,23042.13,35.98,15,741.27,11119,Intel,1,High-End,Mid,High
Intel Xeon E-2226G @ 3.40Ghz,24350.0878,34.05,80,138.99,11119,Intel,0,High-End,Basic,
Intel Core I7-1185G7E @ 2.80Ghz,32139.67,25.79,15,740.95,11114,Intel,1,High-End,Mid,High
Intel Xeon E5-2628L V4 @ 1.90Ghz,101713.48,8.12,75,147.72,11079,Intel,0,High-End,Basic,
Intel Core I5-11300H @ 3.10Ghz,23042.13,35.75,35,315.65,11048,Intel,0,High-End,Basic,
Intel Core I7-1195G7 @ 2.90Ghz,31766.82,25.87,28,393.52,11019,Intel,2,High-End,Mid,
Intel Core I7-1185G7 @ 3.00Ghz,31766.82,25.7,15,729.84,10948,Intel,1,High-End,Mid,High
Intel Xeon E-2176M @ 2.70Ghz,33556.5,24.32,45,243.25,10946,Intel,0,High-End,Basic,
Intel Xeon E-2186M @ 2.90Ghz,46457.11,17.5,45,242.31,10904,Intel,0,High-End,Basic,
Intel Xeon E5-2470 V2 @ 2.40Ghz,17706.6465,45.91,95,114.76,10902,Intel,0,High-End,Basic,
Intel Core I7-11390H @ 3.40Ghz,31766.82,25.58,35,311.35,10897,Intel,0,High-End,Basic,
Intel Xeon E5-2630L V4 @ 1.80Ghz,7307.86,110.86,55,197.53,10864,Intel,0,High-End,Basic,
Intel Xeon W-2225 @ 4.10Ghz,38254.41,21.14,105,103.28,10844,Intel,0,High-End,Basic,
Intel Core I5-9600Kf @ 3.70Ghz,11856.63,68.16,95,114.08,10838,Intel,0,High-End,Basic,
Intel Xeon E5-4650 V3 @ 2.10Ghz,286199.66,2.82,105,103.22,10838,Intel,0,High-End,Basic,
Intel Core I7-9700Te @ 1.80Ghz,24086.11,33.52,35,309.32,10826,Intel,0,High-End,Basic,
Intel Core I9-8950Hk @ 2.90Ghz,43474.31,18.53,45,240.06,10803,Intel,0,High-End,Basic,
Intel Core I5-9600K @ 3.70Ghz,17344.982,46.4,95,113.61,10793,Intel,0,High-End,Basic,
Intel Xeon E-2126G @ 3.30Ghz,23884.0253,33.55,80,134.34,10747,Intel,0,High-End,Basic,
Intel Core I7-9700T @ 2.00Ghz,24086.11,33.24,35,306.74,10736,Intel,0,High-End,Basic,
Intel Core I5-11320H @ 3.20Ghz,23042.13,34.73,35,306.64,10732,Intel,0,High-End,Basic,
Intel Core I7-6800K @ 3.40Ghz,19387.4543,41.08,140,76.29,10681,Intel,0,High-End,Basic,
Intel Core I7-1165G7 @ 2.80Ghz,31766.82,24.87,15,706.33,10595,Intel,1,High-End,Mid,High
Intel Core I5-1155G7 @ 2.50Ghz,23042.13,34.18,28,377.2,10561,Intel,2,High-End,Mid,
Intel Xeon E5-4620 V3 @ 2.00Ghz,58067.659,13.52,105,100.24,10525,Intel,0,High-End,Basic,
Intel Xeon E5-2618L V3 @ 2.30Ghz,76803.3715,10.16,75,139.52,10464,Intel,0,High-End,Basic,
Intel Core I5-1145G7E @ 2.60Ghz,23265.84,33.51,15,696.93,10454,Intel,1,High-End,Mid,High
Intel Core I7-8700T @ 2.40Ghz,25579.0014,30.41,35,298.04,10431,Intel,0,High-End,Basic,
Intel Xeon E5-2630 V3 @ 2.40Ghz,5592.0043,138.58,85,122.26,10392,Intel,0,High-End,Basic,
Intel Xeon E5-2643 V3 @ 3.40Ghz,186421.2715,4.16,135,76.97,10391,Intel,0,High-End,Basic,
Intel Xeon E5-2660 V2 @ 2.20Ghz,5891.03,131.41,95,109.28,10382,Intel,0,High-End,Basic,
Intel Xeon E5-1650 V3 @ 3.50Ghz,61143.6715,12.65,140,74.1,10373,Intel,0,High-End,Basic,
Intel Core I5-9600 @ 3.10Ghz,19130.9335,40.42,65,159.53,10369,Intel,0,High-End,Basic,
Intel Core I5-10500T @ 2.30Ghz,14317.44,53.98,35,296.14,10365,Intel,0,High-End,Basic,
Intel Xeon Silver 4109T @ 2.00Ghz,45319.9175,17.03,70,147.83,10348,Intel,0,High-End,Basic,
Intel Core I7-8850H @ 2.60Ghz,29455.15,26.16,45,229.62,10333,Intel,0,High-End,Basic,
Intel Core I5-9500F @ 3.00Ghz,13571.74,56.76,65,158.92,10330,Intel,0,High-End,Basic,
Intel Core I3-10325 @ 3.90Ghz,11483.78,66.94,65,158.59,10308,Intel,0,High-End,Basic,
Intel Core I7-5930K @ 3.50Ghz,23858.6715,32.21,140,73.6,10304,Intel,0,High-End,Basic,
Intel Xeon E5-2658 V2 @ 2.40Ghz,268750.28,2.85,95,108.15,10274,Intel,0,High-End,Basic,
Intel Xeon Silver 4110 @ 2.10Ghz,39522.1,19.33,85,120.54,10246,Intel,0,High-End,Basic,
Intel Xeon E5-1660 V2 @ 3.70Ghz,134147.7015,5.68,130,78.64,10223,Intel,0,High-End,Basic,
Intel Core I5-8600K @ 3.60Ghz,17597.7743,43.2,95,107.32,10195,Intel,0,High-End,Basic,
Intel Core I7-10710U @ 1.10Ghz,48096.9043,15.7,15,675.07,10126,Intel,1,High-End,Mid,High
Intel Core I3-10320 @ 3.80Ghz,9988.6515,75.51,65,155.61,10115,Intel,0,High-End,Basic,
Intel Core I5-1135G7 @ 2.40Ghz,23042.13,32.68,15,673.3,10100,Intel,1,High-End,Mid,High
Intel Core I7-1068Ng7 @ 2.30Ghz,31766.82,23.69,28,360.46,10093,Intel,2,High-End,Mid,
Intel Core I7-8750H @ 2.20Ghz,29455.15,25.53,45,224.12,10085,Intel,0,High-End,Basic,
Intel Core I5-10400T @ 2.00Ghz,13571.74,55.23,35,287.2,10052,Intel,0,High-End,Basic,
Intel Xeon W-2125 @ 4.00Ghz,74491.7015,10.05,120,83.66,10039,Intel,0,High-End,Basic,
Intel Xeon E5-2650 V2 @ 2.60Ghz,5219.9,142.78,95,105.21,9995,Intel,0,High-End,Basic,
Intel Core I5-10500Te @ 2.30Ghz,14541.15,51.08,35,284.58,9960,Intel,0,High-End,Basic,
Intel Core I7-4960X @ 3.60Ghz,93212.5,7.92,130,76.2,9906,Intel,0,High-End,Basic,
Intel Xeon E-2234 @ 3.60Ghz,21997.4043,33.57,71,139.48,9903,Intel,0,High-End,Basic,
Intel Core I7-7740X @ 4.30Ghz,16852.0743,43.65,112,88.07,9864,Intel,0,High-End,Basic,
Intel Core I5-8600 @ 3.10Ghz,20556.7119,35.73,65,151.52,9849,Intel,0,High-End,Basic,
Intel Xeon E5-2648L V3 @ 1.80Ghz,114119.6909,6.43,75,131.29,9847,Intel,0,High-End,Basic,
Intel Xeon E5-2690 @ 2.90Ghz,10096.778,72.61,135,72.83,9832,Intel,0,High-End,Basic,
Intel Xeon E-2244G @ 3.80Ghz,30797.41,23.79,71,138.39,9826,Intel,0,High-End,Basic,
Intel Core I7-5820K @ 3.30Ghz,19042.1952,38.43,140,70.1,9814,Intel,0,High-End,Basic,
Intel Xeon E5-2687W @ 3.10Ghz,14317.44,51.02,150,65.31,9796,Intel,0,High-End,Basic,
Intel Xeon E5-2689 @ 2.60Ghz,13627.6675,53.45,115,84.93,9767,Intel,0,High-End,Basic,
Intel Core I5-1130G7 @ 1.10Ghz,23042.13,31.57,15,650.39,9756,Intel,2,High-End,Mid,
Intel Core I5-9500 @ 3.00Ghz,22191.2863,32.59,65,149.2,9698,Intel,0,High-End,Basic,
Intel Core I3-10305 @ 3.80Ghz,11930.4543,60.56,65,149.06,9689,Intel,0,High-End,Basic,
Intel Xeon E-2274G @ 4.00Ghz,24906.38,28.92,83,116.39,9660,Intel,0,High-End,Basic,
Intel Core I7-7700K @ 4.20Ghz,26057.7408,27.64,95,101.66,9658,Intel,0,High-End,Basic,
Intel Core I5-1038Ng7 @ 2.00Ghz,23862.4,30.08,28,343.8,9626,Intel,2,High-End,Mid,
Intel Xeon E-2174G @ 3.80Ghz,26098.7543,27.42,71,135.15,9596,Intel,0,High-End,Basic,
Intel Core I5-8500 @ 3.00Ghz,14168.3,50.4,65,147.32,9576,Intel,0,High-End,Basic,
Intel Core I5-9400F @ 2.90Ghz,9693.3543,73.42,65,146.84,9544,Intel,0,High-End,Basic,
Intel Core I5-9400 @ 2.90Ghz,10439.0543,67.71,65,145.82,9478,Intel,0,High-End,Basic,
Intel Core I5-8500B @ 3.00Ghz,14317.44,49.11,65,145.06,9429,Intel,0,High-End,Basic,
Intel Xeon Gold 5222 @ 3.80Ghz,110089.1824,6.39,105,89.79,9428,Intel,0,High-End,Basic,
