RAM_Name,Version,Size_GB,Speed,USD,Price,Rating
G.SKILL Trident Z5 Neo Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3038F16GX2-TZ5N),DDR5,32GB,6000,26.78,2142.4,4.7
Kingston FURY Impact 32GB (2x16GB) 3200MT/s DDR4 CL20 Laptop Memory Kit of 2 | Intel XMP | AMD Ryzen | Plug n Play | Low Power Consumption | KF432S20IBK2/32,DDR4,32GB,3200,11.99,959.2,4.6
KLEVV Bolt V DDR5 32GB (2x16GB) 6000MHz CL16 1.35V Gaming Desktop Ram Memory SK Hynix Chips XMP 2.0 / Expo Ready (KD5AGUA80-60A300H),DDR5,32GB,6000,85.99,6879.2,4.5
KLEVV Bolt X DDR4 32GB (2x16GB) 3600MHz CL18 1.35V Gaming Desktop Ram Memory SK Hynix Chips XMP 2.0 Ready (KD4AGU880-36A180U),DDR4,32GB,3600,56.99,4559.2,4.5
Kuesuny 32GB DDR4 3200MHz (2x16GB) Kit PC4-25600 Non-ECC Unbuffered 1.2V CL22 1Rx8 Single Rank 260 Pin Sodimm Laptop Notebook PC Computer Memory Ram Module Upgrade,DDR4,32GB,3200,48.99,3919.2,4.6
Kuesuny DDR4 Ram 32GB 2666MHz (2x16GB) Kit PC4-21300 Non-ECC Unbuffered 1.2V CL19 1Rx8 Single Rank 260 Pin Sodimm Laptop Notebook PC Computer Memory Ram Module Upgrade,DDR4,32GB,2666,44.55,3564.0,4.6
Kuesuny DDR4 Ram 32GB 2666MHz (2x16GB) Kit PC4-21300 Non-ECC Unbuffered 1.2V CL19 1Rx8 Single Rank 288 Pin Desktop Ram Memory Module Upgrade,DDR4,32GB,2666,45.77,3661.6,4.6
Kuesuny DDR4 Ram 32GB Kit (2x16GB) PC4-25600 Memoria Ram DDR4 3200MHz 1.2V CL22 1Rx8 Single Rank Unbuffered Non-ECC Udimm 288 Pin Desktop PC Computer Memory Ram Module Upgrade,DDR4,32GB,3200,48.99,3919.2,4.6
Mushkin Redline Notebook – DDR4 Gaming Laptop DRAM – 32GB (2x16GB) SODIMM Memory Kit – 3200MHz (PC4-25600) CL-16 – 260-pin 1.35V RAM – Dual-Channel – Low-Voltage – (MRA4S320GJJM16GX2),DDR4,32GB,3200,69.99,5599.2,4.6
OWC 32GB (2X16GB) DDR4 RAM Compatible with Synology DiskStation DS723+ and DS923+ NAS System 2666MHz PC4-21300 CL19 ECC SODIMM 2Rx8 1.2V Memory Upgrade,DDR4,32GB,2666,101.99,8159.2,4.7
Patriot Memory Viper Elite II DDR4 32GB(2 x 16GB) 4000MHz Kit,DDR4,32GB,4000,62.99,5039.2,4.5
Patriot Memory Viper Elite II DDR4 32GB(2 x 16GB) 4000MHz Kit,DDR4,32GB,4000,62.99,5039.2,4.5
Patriot Memory Viper Steel DDR4 32GB (1 x 32GB) 3600 MHz Module - PVS432G360C8,DDR4,32GB,3600,55.99,4479.2,4.6
Patriot Memory Viper Steel DDR4 32GB (2 x 16GB) 3200MHz Kit,DDR4,32GB,3200,59.99,4799.2,4.6
Patriot Memory Viper Steel DDR4 32GB (2 x 16GB) 3600MHz Kit,DDR4,32GB,3600,61.99,4959.2,4.6
Patriot Memory Viper Steel Series DDR4 32GB (1 x 32GB) 3200MHz CL18 SODIMM Single - PVS432G320C8S,DDR4,32GB,3200,52.99,4239.2,4.7
Patriot Viper 4 Blackout Series DDR4 32GB (2 x 16GB) 3200MHz Kit,DDR4,32GB,3200,57.99,4639.2,4.6
Patriot Viper Elite II DDR4 32GB(1 x 32GB) 3200MHz Single Memory Module,DDR4,32GB,3200,52.99,4239.2,4.5
Patriot Viper Elite II DDR4 32GB(1 x 32GB) 3600MHz Single Memory Module,DDR4,32GB,3600,52.99,4239.2,4.5
Patriot Viper Elite II DDR4 32GB(2 x 16GB) 2666MHz Kit,DDR4,32GB,2666,53.99,4319.2,4.5
Patriot Viper Elite II DDR4 32GB(2 x 16GB) 3200MHz Kit,DDR4,32GB,3200,55.99,4479.2,4.5
Patriot Viper Steel DDR4 32GB 2400MHz CL15 SODIMM Memory Module PVS432G240C5S,DDR4,32GB,2400,49.99,3999.2,4.7
Patriot Viper Venom DDR5 32GB (2 x 16GB) 5600MHz UDIMM Desktop Gaming Memory Kit - PVV532G560C36K,DDR5,32GB,5600,89.99,7199.2,4.3
Samsung 32GB (1x32GB) DDR4 3200 MHz PC4-25600 SODIMM 2Rx8 CL22 1.2v 260-PIN Laptop Notebook Memory Module RAM Upgrade M471A4G43AB1-CWE Adamanta,DDR4,32GB,3200,75,6000.0,4.6
Samsung 32GB (1x32GB) DDR5 4800MHz PC5-38400 SODIMM 2Rx8 CL40 1.1v Module Notebook Laptop RAM Memory Upgrade M425R4GA3BB0-CQK Adamanta,DDR5,32GB,4800,108.99,8719.2,4.3
Samsung 32GB DDR4 2133MHz PC4-17000 ECC LRDIMM 4Rx4 1.2V ECC Load Reduced DIMM 288-Pin Server Memory RAM - M386A4G40DM0-CPB,DDR4,32GB,2133,27.99,2239.2,4.2
Silicon Power DDR4 32GB (2x16GB) 2666MHz 260-pin CL19 1.2V SODIMM Laptop RAM Computer Memory SU032GBSFU266B22AB,DDR4,32GB,2666,47.97,3837.6,4.7
Silicon Power DDR4 32GB (2x16GB) 2666MHz 260-pin CL19 1.2V SODIMM Laptop RAM Computer Memory SU032GBSFU266B22AB,DDR4,32GB,2666,47.97,3837.6,4.7
Silicon Power DDR4 32GB (2x16GB) 3200MHz (PC4-25600) CL22 SODIMM 260-Pin 1.2V Non-ECC Laptop RAM Notebook Computer Memory,DDR4,32GB,3200,50.97,4077.6,4.7
Silicon Power DDR4 32GB (2x16GB) 3200MHz (PC4-25600) CL22 SODIMM 260-Pin 1.2V Non-ECC Laptop RAM Notebook Computer Memory SU032GBSFU320F22AF,DDR4,32GB,3200,49.97,3997.6,4.7
Silicon Power DDR5 32GB (2x16GB) 4800MHz (PC5-38400) 262-pin CL40 1.1V SODIMM Non-ECC Laptop RAM Computer Memory SP032GBSVU480F22,DDR5,32GB,4800,69.97,5597.6,4.3
Silicon Power DDR5 32GB (2x16GB) Zenith RGB 6000MHz (PC5-48000) 288-pin CL40 1.35V UDIMM Desktop Memory Module RAM SP032GXLWU600FDH White,DDR5,32GB,6000,89.29,7143.2,4.7
"TEAMGROUP T-Create Classic 10L DDR5 32GB Kit (2 x 16GB) 5600MHz (PC5-44800) CL46 Hynix IC Desktop Memory Module Ram, Supports Both Intel & AMD - CTCCD532G5600HC46DC01",DDR5,32GB,5600,119.99,9599.2,4.6
TEAMGROUP T-Force Vulcan Z DDR4 32GB Kit (2x16GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module Ram (Gray) - TLZGD432G3200HC16FDC01,DDR4,32GB,3200,149.99,11999.2,4.7
"Timetec 32GB KIT(2x16GB) Compatible for Apple DDR4 2666MHz / 2667MHz for Mid 2020 iMac (20,1/20,2) / Mid 2019 iMac (19,1) 27-inch w/Retina 5K, Late 2018 Mac Mini (8,1) PC4-21333 /PC4-21300 MAC RAM",DDR4,32GB,2666,54.99,4399.2,4.6
Timetec 32GB KIT(2x16GB) DDR4 2400MHz PC4-19200 Non-ECC Unbuffered 1.2V CL17 2Rx8 Dual Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade (32GB KIT(2x16GB)),DDR4,32GB,2400,52.99,4239.2,4.7
Timetec 32GB KIT(2x16GB) DDR4 2666MHz (DDR4-2666) PC4-21300 (PC4-2666V) Non-ECC Unbuffered 1.2V CL19 2Rx8 Dual Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR4,32GB,2666,45.99,3679.2,4.7
Timetec 32GB KIT(2x16GB) DDR4 2666MHz PC4-21300 Non-ECC Unbuffered 1.2V CL19 2Rx8 Dual Rank 288 Pin UDIMM Desktop Memory RAM Module Upgrade (32GB KIT(2x16GB)),DDR4,32GB,2666,52.99,4239.2,4.6
Timetec 32GB KIT(2x16GB) DDR4 2666MHz PC4-21300 Non-ECC Unbuffered 1.2V CL19 2Rx8 Dual Rank 288 Pin UDIMM Desktop Memory RAM Module Upgrade (32GB KIT(2x16GB)),DDR4,32GB,2666,52.99,4239.2,4.6
V-Color Prism Pro DDR4 32GB (16GBx2) 3600MHz (PC4-28800) CL18 RGB Gaming Desktop Ram Memory Module UDIMM Hynix IC Single Rank - Glacier White (TL1636818A-E6PRWWK),DDR4,32GB,3600,73.99,5919.2,4.6
Wlizedle DDR3 RAM 32GB Kit (4x8GB) 1866MHz CL13 DIMM Desktop Memory PC3-14900 240-Pin 1.5V 2Rx8 Dual Rank Channel Non-ECC Unbuffered PC Computer Sdram Sticks Module Upgrade (Black),DDR3,32GB,1866,47.95,3836.0,4.5
"A-Tech 256GB Kit (8x32GB) RAM for HP Z440, Z640, Z840 | DDR4 2400MHz PC4-19200 ECC RDIMM 2Rx4 Registered Server Memory Upgrade",DDR4,56GB,2400,359.99,28799.2,4.5
A-Tech Server 64GB Kit (2 x 32GB) DDR3 PC3-14900 1866MHz ECC Load Reduced 4Rx4 1.5V 240-Pin LRDIMM Quad Rank Server Memory RAM Modules (AT32G2D3D1866LQ4N15V),DDR3,64GB,1866,79.99,6399.2,5
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 6000MHz CL40 AMD EXPO iCUE Compatible Computer Memory - Gray (CMK64GX5M2B6000Z40),DDR5,64GB,6000,199.99,15999.2,4.6
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 6000MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMK64GX5M2B6000C40),DDR5,64GB,6000,189.99,15199.2,4.7
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 6200MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMK64GX5M2B6200C32),DDR5,64GB,6200,189.99,15199.2,4.5
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMK64GX5M2B6600C32),DDR5,64GB,6600,236.45,18916.0,4.3
"Corsair Vengeance LPX 64GB (4x16GB) DDR4 4000MHz C18 Desktop Memory (High Performance Overclocking, Pure Aluminum Heatspreader, Custom Performance PCB) Black",DDR4,64GB,4000,215.1,17208.0,4.8
Corsair Vengeance Performance SODIMM 64GB (2x32GB) DDR4 3200MHz CL22 Unbuffered for AMD Ryzen 4000 Series Notebooks Memory - Black,DDR4,64GB,3200,114.99,9199.2,4.6
CORSAIR VENGEANCE SODIMM DDR5 RAM 64GB (2x32GB) 4800MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMSX64GX5M2A4800C40),DDR5,64GB,4800,139.99,11199.2,4.6
Crucial Pro RAM 64GB Kit DDR4 3200MT/s (or 3000MT/s or 2666MT/s) Desktop Memory CP2K32G4DFRA32A 32GB (Pack of 2),DDR4,64GB,3200,104.99,8399.2,4.8
Crucial RAM 64GB Kit (2x32GB) DDR4 2666 MHz CL19 Memory for Mac CT2K32G4S266M,DDR4,64GB,2666,119.17,9533.6,4.8
Crucial RAM 64GB Kit (2x32GB) DDR5 4800MT/s CL40 Laptop Memory CT2K32G48C40S5,DDR5,64GB,4800,104.99,8399.2,4.6
G.SKILL Flare X5 Series (AMD Expo) DDR5 RAM 64GB (2x32GB) 5600MT/s CL36-36-36-89 1.25V Desktop Computer Memory UDIMM - Matte Black (F5-5600J3636D32GX2-FX5),DDR5,64GB,5600,94.99,7599.2,4.7
G.SKILL Ripjaws DDR4 SO-DIMM Series DDR4 RAM 64GB (2x32GB) 3200MT/s CL22-22-22-52 1.20V Unbuffered Non-ECC Notebook/Laptop Memory SODIMM (F4-3200C22D-64GRS),DDR4,64GB,3200,24.9,1992.0,4.5
G.SKILL Ripjaws DDR5 SO-DIMM Series DDR5 RAM 64GB (2x32GB) 5600MT/s CL40-40-40-89 1.10V Unbuffered Non-ECC Notebook/Laptop Memory SODIMM (F5-5600S4040A32GX2-RS),DDR5,64GB,5600,559,44720.0,4.8
G.SKILL Ripjaws DDR5 SO-DIMM Series DDR5 RAM 64GB (2x32GB) 5600MT/s CL46-45-45-89 1.10V Unbuffered Non-ECC Notebook/Laptop Memory SODIMM (F5-5600S4645A32GX2-RS),DDR5,64GB,5600,984.99,78799.2,4.9
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 64GB (2x32GB) 6400MT/s CL32-39-39-102 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6400J3239G32GX2-RS5K),DDR5,64GB,6400,79.99,6399.2,4.6
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 64GB (2x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM - Black (F4-3600C18D-64GVK),DDR4,64GB,3600,179.99,14399.2,4.7
G.SKILL Ripjaws V Series DDR4 RAM 64GB (2x32GB) 2666MT/s CL18-18-18-43 1.20V Desktop Computer Memory UDIMM - Black (F4-2666C18D-64GVK),DDR4,64GB,2666,109.88,8790.4,4.8
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 64GB (2x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM (F4-3600C18D-64GTZN),DDR4,64GB,3600,16.99,1359.2,4.5
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 64GB (4x16GB) 3600MT/s CL16-19-19-39 1.35V Desktop Computer Memory UDIMM (F4-3600C16Q-64GTZNC),DDR4,64GB,3600,359.99,28799.2,4.8
G.SKILL Trident Z Royal Series (Intel XMP) DDR4 RAM 64GB (2x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM - Silver (F4-3600C18D-64GTRS),DDR4,64GB,3600,74.99,5999.2,4.8
G.SKILL Trident Z5 Neo Series (AMD Expo) DDR5 RAM 64GB (2x32GB) 6000MT/s CL30-40-40-96 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3040G32GX2-TZ5N),DDR5,64GB,6000,99.99,7999.2,4.6
"Kingston Technology Fury Impact 64GB 4800MT/s DDR5 CL38 SODIMM XMP Ready Laptop Memory (Kit of 2) KF548S38IBK2-64, Black",DDR5,64GB,4800,19.99,1599.2,4.3
Patriot Memory Viper 4 Blackout Series DDR4 64GB (2 x 32GB) 3200MHz Kit,DDR4,64GB,3200,104.99,8399.2,4.6
Patriot Memory Viper 4 Blackout SeriesDDR4 64GB (2 x 32GB) 3600MHz Kit,DDR4,64GB,3600,109.99,8799.2,4.6
Patriot Memory Viper Steel DDR4 64GB (2 x 32GB) 3600MHz Kit - PVS464G360C8K,DDR4,64GB,3600,112.99,9039.2,4.6
Patriot Memory Viper Steel DDR4 64GB (2 x 32GB) 3600MHz Kit - PVS464G360C8K,DDR4,64GB,3600,112.99,9039.2,4.6
Patriot Viper Elite II DDR4 64GB(2 x 32GB) 3200MHz UDIMM Desktop Gaming Memory Kit - PVE2464G320C8K,DDR4,64GB,3200,103.99,8319.2,4.5
Patriot Viper Elite II DDR4 64GB(2 x 32GB) 3600MHz Kit,DDR4,64GB,3600,106.99,8559.2,4.5
"Timetec 64GB KIT (4x16GB) Compatible for Apple 2017 iMac (27-inch w/Retina 5K Display) DDR4 2400MHz PC4-19200 1Rx8 CL17 1.2V Non-ECC Non-Parity Unbuffered SODIMM Memory MAC RAM Upgrade for iMac 18,3",DDR4,64GB,2400,119.99,9599.2,4.6
Timetec 64GB KIT(2x32GB) DDR4 3200MHz PC4-25600 Non-ECC Unbuffered 1.2V CL22 2Rx8 Dual Rank 260 Pin SODIMM Compatible with AMD and Intel Gaming Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR4,64GB,3200,88.99,7119.2,4.7
V-Color Skywalker Plus DDR4 64GB (32GBx2) 3200MHz (PC4-25600) CL16 Gaming Desktop Ram Memory Hynix IC Dual Rank 1.35V High End Mirror Finished Metal Heatsink- Silver (TO432G32D816ASPSXK),DDR4,64GB,3200,109.99,8799.2,4.5
